model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Motion-o (7B),videomme,random,1,2700,44.7,42.84,46.59,12,49.56,43.89,40.67,27.22,25.0
Motion-o (7B),videomme,random,4,2700,48.81,46.93,50.7,0,55.0,48.78,42.67,27.22,25.0
Motion-o (7B),videomme,random,8,2700,50.37,48.49,52.25,0,57.67,49.22,44.22,27.22,25.0
Motion-o (7B),videomme,random,16,2700,54.19,52.3,56.06,0,65.11,52.11,45.33,27.22,25.0
Motion-o (7B),videomme,random,24,2700,56.59,54.71,58.45,2,68.33,52.56,48.89,27.22,25.0
Motion-o (7B),videomme,hornet,1,2700,42.81,40.96,44.69,17,46.89,40.67,40.89,27.22,25.0
Motion-o (7B),videomme,hornet,4,2700,46.78,44.9,48.66,0,51.78,46.56,42.0,27.22,25.0
Motion-o (7B),videomme,hornet,8,2700,48.22,46.34,50.11,1,54.22,47.44,43.0,27.22,25.0
Motion-o (7B),videomme,hornet,16,2700,53.07,51.19,54.95,0,63.0,50.33,45.89,27.22,25.0
Motion-o (7B),videomme,hornet,24,2700,55.56,53.67,57.42,0,66.44,53.78,46.44,27.22,25.0
Motion-o (7B),videomme,f2c,1,2700,49.85,47.97,51.74,2,56.33,48.44,44.78,27.22,25.0
Motion-o (7B),videomme,f2c,4,2700,50.11,48.23,52.0,0,56.56,48.56,45.22,27.22,25.0
Motion-o (7B),videomme,f2c,8,2700,53.07,51.19,54.95,1,61.44,51.11,46.67,27.22,25.0
Motion-o (7B),videomme,f2c,16,2700,55.81,53.93,57.68,0,66.78,52.67,48.0,27.22,25.0
Motion-o (7B),videomme,f2c,24,2700,58.22,56.35,60.07,0,69.56,54.89,50.22,27.22,25.0
Molmo2-8B,videomme,uniform,1,2700,47.19,45.31,49.07,0,50.89,46.33,44.33,27.22,25.0
Molmo2-8B,videomme,uniform,4,2700,52.37,50.48,54.25,0,57.89,50.89,48.33,27.22,25.0
Molmo2-8B,videomme,uniform,8,2700,56.3,54.42,58.16,0,65.0,55.56,48.33,27.22,25.0
Molmo2-8B,videomme,uniform,16,2700,59.78,57.92,61.61,0,70.78,57.67,50.89,27.22,25.0
Molmo2-8B,videomme,uniform,24,2700,60.85,59.0,62.68,0,71.89,61.0,49.67,27.22,25.0
Molmo2-8B,videomme,random,1,2700,49.81,47.93,51.7,0,54.44,49.33,45.67,27.22,25.0
Molmo2-8B,videomme,random,4,2700,53.67,51.78,55.54,0,60.67,50.89,49.44,27.22,25.0
Molmo2-8B,videomme,random,8,2700,56.15,54.27,58.01,0,63.67,55.22,49.56,27.22,25.0
Molmo2-8B,videomme,random,16,2700,60.0,58.14,61.83,0,69.67,59.44,50.89,27.22,25.0
Molmo2-8B,videomme,random,24,2700,60.3,58.44,62.13,0,68.44,61.78,50.67,27.22,25.0
Molmo2-8B,videomme,hornet,1,2700,49.96,48.08,51.85,0,51.11,50.78,48.0,27.22,25.0
Molmo2-8B,videomme,hornet,4,2700,50.37,48.49,52.25,0,55.11,49.33,46.67,27.22,25.0
Molmo2-8B,videomme,hornet,8,2700,52.67,50.78,54.54,0,59.22,51.33,47.44,27.22,25.0
Molmo2-8B,videomme,hornet,16,2700,57.3,55.42,59.15,0,66.44,54.44,51.0,27.22,25.0
Molmo2-8B,videomme,hornet,24,2700,59.96,58.1,61.8,0,69.89,58.11,51.89,27.22,25.0
Gemma-4-12B-it,videomme,uniform,1,2700,35.85,34.06,37.68,456,38.89,31.33,37.33,27.22,25.0
Gemma-4-12B-it,videomme,uniform,4,2700,45.41,43.54,47.29,282,52.44,41.78,42.0,27.22,25.0
Gemma-4-12B-it,videomme,uniform,8,2700,48.56,46.67,50.44,254,59.11,44.78,41.78,27.22,25.0
Gemma-4-12B-it,videomme,uniform,16,2700,52.07,50.19,53.95,221,65.44,47.56,43.22,27.22,25.0
Gemma-4-12B-it,videomme,uniform,24,2700,54.07,52.19,55.95,207,67.78,51.89,42.56,27.22,25.0
Gemma-4-12B-it,videomme,random,1,2700,38.85,37.03,40.7,359,41.44,36.11,39.0,27.22,25.0
Gemma-4-12B-it,videomme,random,4,2700,43.52,41.66,45.4,343,52.11,40.0,38.44,27.22,25.0
Gemma-4-12B-it,videomme,random,8,2700,47.56,45.68,49.44,313,56.44,45.22,41.0,27.22,25.0
Gemma-4-12B-it,videomme,random,16,2700,50.74,48.86,52.62,269,64.89,45.56,41.78,27.22,25.0
Gemma-4-12B-it,videomme,random,24,2700,52.11,50.23,53.99,238,64.67,48.56,43.11,27.22,25.0
Gemma-4-12B-it,videomme,hornet,1,2700,35.3,33.52,37.12,500,37.89,31.56,36.44,27.22,25.0
Gemma-4-12B-it,videomme,hornet,4,2700,42.52,40.67,44.39,386,48.0,39.89,39.67,27.22,25.0
Gemma-4-12B-it,videomme,hornet,8,2700,46.19,44.31,48.07,338,54.33,42.0,42.22,27.22,25.0
Gemma-4-12B-it,videomme,hornet,16,2700,51.0,49.11,52.88,275,60.89,48.0,44.11,27.22,25.0
Gemma-4-12B-it,videomme,hornet,24,2700,53.67,51.78,55.54,232,65.89,52.0,43.11,27.22,25.0
