model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Qwen3-VL-4B,mbhuman,hornet,8,240,60,0.0,-0.0,6.02,3.33,4.17,50.42,6.25,8,7,112,113,0,6.67,94.17,0.83,-5.29,6.96,-2.0,0.13
Qwen3-VL-4B,mbhuman,hornet,16,240,60,1.67,0.29,8.86,5.83,8.33,50.42,11.25,14,13,106,107,0,11.67,89.17,0.83,-7.16,8.83,-1.47,0.13
Qwen3-VL-4B,mbhuman,hornet,24,240,60,3.33,0.92,11.36,9.17,14.17,52.08,14.58,20,15,100,105,0,16.67,87.5,4.17,-4.75,13.08,-0.93,0.65
Qwen3-VL-4B,mbhuman,f2cfull,1,240,60,0.0,-0.0,6.02,3.33,4.17,50.83,4.17,6,4,114,116,0,5.0,96.67,1.67,-3.39,6.72,-2.0,0.26
Qwen3-VL-4B,mbhuman,f2cfull,4,240,60,1.67,0.29,8.86,5.83,5.83,50.83,7.5,10,8,110,112,0,8.33,93.33,1.67,-4.99,8.33,-1.47,0.26
Qwen3-VL-4B,mbhuman,f2cfull,8,240,60,1.67,0.29,8.86,5.83,5.83,50.83,7.5,10,8,110,112,0,8.33,93.33,1.67,-4.99,8.33,-1.47,0.26
Qwen3-VL-4B,mbhuman,f2cfull,16,240,60,1.67,0.29,8.86,5.83,5.83,50.83,7.5,10,8,110,112,0,8.33,93.33,1.67,-4.99,8.33,-1.47,0.26
Qwen3-VL-4B,mbhuman,f2cfull,24,240,60,1.67,0.29,8.86,5.83,5.83,50.83,7.5,10,8,110,112,0,8.33,93.33,1.67,-4.99,8.33,-1.47,0.26
Eagle2.5-8B,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,5.0,8.33,49.17,69.17,82,84,38,36,0,68.33,30.0,-1.67,-13.35,10.02,-2.0,-0.26
Eagle2.5-8B,mbhuman,uniform,4,240,60,6.67,2.62,15.93,13.33,21.67,54.58,72.92,93,82,27,38,0,77.5,31.67,9.17,-2.02,20.35,0.13,1.42
Eagle2.5-8B,mbhuman,uniform,8,240,60,10.0,4.66,20.15,16.67,25.83,56.25,68.75,90,75,30,45,0,75.0,37.5,12.5,0.88,24.12,1.2,1.94
Eagle2.5-8B,mbhuman,uniform,16,240,60,10.0,4.66,20.15,19.17,27.5,57.92,68.75,92,73,28,47,0,76.67,39.17,15.83,4.28,27.39,1.2,2.45
Eagle2.5-8B,mbhuman,uniform,24,240,60,11.67,5.77,22.18,19.17,27.5,57.92,69.58,93,74,27,46,0,77.5,38.33,15.83,4.37,27.3,1.73,2.45
Eagle2.5-8B,mbhuman,random,1,240,60,0.0,-0.0,6.02,5.0,7.5,47.92,69.58,81,86,39,34,0,67.5,28.33,-4.17,-15.8,7.46,-2.0,-0.65
Eagle2.5-8B,mbhuman,random,4,240,60,1.67,0.29,8.86,14.17,21.67,55.42,72.92,94,81,26,39,0,78.33,32.5,10.83,-0.33,21.99,-1.47,1.68
Eagle2.5-8B,mbhuman,random,8,240,60,6.67,2.62,15.93,15.83,25.0,55.42,67.08,87,74,33,46,0,72.5,38.33,10.83,-0.98,22.64,0.13,1.68
Eagle2.5-8B,mbhuman,random,16,240,60,10.0,4.66,20.15,18.33,27.5,57.5,69.17,92,74,28,46,0,76.67,38.33,15.0,3.47,26.53,1.2,2.32
Eagle2.5-8B,mbhuman,random,24,240,60,10.0,4.66,20.15,19.17,25.0,56.67,70.0,92,76,28,44,0,76.67,36.67,13.33,1.86,24.81,1.2,2.07
Eagle2.5-8B,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,5.0,10.83,50.42,53.75,65,64,55,56,0,54.17,46.67,0.83,-11.78,13.45,-2.0,0.13
Eagle2.5-8B,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,7.5,16.67,50.0,54.17,65,65,55,55,0,54.17,45.83,0.0,-12.61,12.61,-2.0,0.0
Eagle2.5-8B,mbhuman,hornet,8,240,60,6.67,2.62,15.93,15.0,20.83,54.58,50.42,66,55,54,65,0,55.0,54.17,9.17,-3.43,21.76,0.13,1.42
Eagle2.5-8B,mbhuman,hornet,16,240,60,8.33,3.61,18.07,21.67,30.0,58.75,57.92,80,59,40,61,0,66.67,50.83,17.5,5.21,29.79,0.67,2.71
Eagle2.5-8B,mbhuman,hornet,24,240,60,11.67,5.77,22.18,21.67,29.17,57.92,58.75,80,61,40,59,0,66.67,49.17,15.83,3.54,28.13,1.73,2.45
Eagle2.5-8B,mbhuman,f2cfull,1,240,60,1.67,0.29,8.86,6.67,10.0,50.0,70.0,84,84,36,36,0,70.0,30.0,0.0,-11.6,11.6,-1.47,0.0
Eagle2.5-8B,mbhuman,f2cfull,4,240,60,1.67,0.29,8.86,13.33,16.67,54.17,73.33,93,83,27,37,0,77.5,30.83,8.33,-2.81,19.47,-1.47,1.29
Eagle2.5-8B,mbhuman,f2cfull,8,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
Eagle2.5-8B,mbhuman,f2cfull,16,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
Eagle2.5-8B,mbhuman,f2cfull,24,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
Inkling-Small,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,11.67,15.83,45.83,28.33,29,39,91,81,0,24.17,67.5,-8.33,-19.69,3.02,-2.0,-1.29
Inkling-Small,mbhuman,uniform,4,240,60,10.0,4.66,20.15,24.17,33.33,55.42,54.58,72,59,48,61,0,60.0,50.83,10.83,-1.69,23.36,1.2,1.68
Inkling-Small,mbhuman,uniform,8,240,60,5.0,1.71,13.7,18.33,30.0,52.92,55.42,70,63,50,57,0,58.33,47.5,5.83,-6.72,18.39,-0.4,0.9
Inkling-Small,mbhuman,uniform,16,240,60,5.0,1.71,13.7,20.83,29.17,54.58,58.75,76,65,44,55,0,63.33,45.83,9.17,-3.24,21.57,-0.4,1.42
Inkling-Small,mbhuman,uniform,24,240,60,5.0,1.71,13.7,23.33,30.83,55.42,60.42,79,66,41,54,0,65.83,45.0,10.83,-1.46,23.13,-0.4,1.68
Inkling-Small,mbhuman,random,1,240,60,3.33,0.92,11.36,19.17,20.83,52.5,30.83,40,34,80,86,0,33.33,71.67,5.0,-6.67,16.67,-0.93,0.77
Inkling-Small,mbhuman,random,4,240,60,6.67,2.62,15.93,19.17,27.5,48.33,47.5,55,59,65,61,0,45.83,50.83,-3.33,-15.96,9.3,0.13,-0.52
Inkling-Small,mbhuman,random,8,240,60,6.67,2.62,15.93,18.33,31.67,52.5,53.33,67,61,53,59,0,55.83,49.17,5.0,-7.61,17.61,0.13,0.77
Inkling-Small,mbhuman,random,16,240,60,6.67,2.62,15.93,25.83,28.33,55.0,60.0,78,66,42,54,0,65.0,45.0,10.0,-2.33,22.33,0.13,1.55
Inkling-Small,mbhuman,random,24,240,60,8.33,3.61,18.07,26.67,30.0,54.58,57.92,75,64,45,56,0,62.5,46.67,9.17,-3.27,21.6,0.67,1.42
Inkling-Small,mbhuman,hornet,1,240,60,3.33,0.92,11.36,17.5,24.17,49.58,32.08,38,39,82,81,0,31.67,67.5,-0.83,-12.64,10.98,-0.93,-0.13
Inkling-Small,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,12.5,21.67,49.17,43.33,51,53,69,67,0,42.5,55.83,-1.67,-14.2,10.87,-2.0,-0.26
Inkling-Small,mbhuman,hornet,8,240,60,3.33,0.92,11.36,20.0,27.5,52.08,49.58,62,57,58,63,0,51.67,52.5,4.17,-8.47,16.81,-0.93,0.65
Inkling-Small,mbhuman,hornet,16,240,60,3.33,0.92,11.36,13.33,24.17,49.17,54.17,64,66,56,54,0,53.33,45.0,-1.67,-14.27,10.94,-0.93,-0.26
Inkling-Small,mbhuman,hornet,24,240,60,3.33,0.92,11.36,16.67,20.0,50.0,65.83,79,79,41,41,0,65.83,34.17,0.0,-12.0,12.0,-0.93,0.0
Motion-o (7B),mbhuman,uniform,1,240,60,0.0,-0.0,6.02,2.5,1.67,50.42,2.08,3,2,117,118,0,2.5,98.33,0.83,-2.78,4.45,-2.0,0.13
Motion-o (7B),mbhuman,uniform,4,240,60,0.0,-0.0,6.02,5.0,5.0,52.08,4.58,8,3,112,117,0,6.67,97.5,4.17,-1.1,9.43,-2.0,0.65
Motion-o (7B),mbhuman,uniform,8,240,60,5.0,1.71,13.7,8.33,10.0,53.75,6.25,12,3,108,117,0,10.0,97.5,7.5,1.45,13.55,-0.4,1.16
Motion-o (7B),mbhuman,uniform,16,240,60,6.67,2.62,15.93,10.83,12.5,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o (7B),mbhuman,uniform,24,240,60,6.67,2.62,15.93,10.83,12.5,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o (7B),mbhuman,random,1,240,60,0.0,-0.0,6.02,2.5,2.5,51.25,2.08,4,1,116,119,0,3.33,99.17,2.5,-1.1,6.1,-2.0,0.39
Motion-o (7B),mbhuman,random,4,240,60,0.0,-0.0,6.02,2.5,4.17,50.83,5.0,7,5,113,115,0,5.83,95.83,1.67,-3.84,7.18,-2.0,0.26
Motion-o (7B),mbhuman,random,8,240,60,1.67,0.29,8.86,7.5,8.33,52.92,5.42,10,3,110,117,0,8.33,97.5,5.83,0.15,11.51,-1.47,0.9
Motion-o (7B),mbhuman,random,16,240,60,6.67,2.62,15.93,10.83,11.67,55.42,6.25,14,1,106,119,0,11.67,99.17,10.83,4.86,16.8,0.13,1.68
Motion-o (7B),mbhuman,random,24,240,60,6.67,2.62,15.93,11.67,11.67,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o (7B),mbhuman,hornet,1,240,60,0.0,-0.0,6.02,1.67,1.67,50.83,0.83,2,0,118,120,0,1.67,100.0,1.67,-0.62,3.96,-2.0,0.26
Motion-o (7B),mbhuman,hornet,4,240,60,0.0,-0.0,6.02,2.5,3.33,50.42,2.92,4,3,116,117,0,3.33,97.5,0.83,-3.42,5.09,-2.0,0.13
Motion-o (7B),mbhuman,hornet,8,240,60,0.0,-0.0,6.02,2.5,2.5,49.58,2.92,3,4,117,116,0,2.5,96.67,-0.83,-5.09,3.42,-2.0,-0.13
Motion-o (7B),mbhuman,hornet,16,240,60,1.67,0.29,8.86,5.0,5.83,51.25,5.42,8,5,112,115,0,6.67,95.83,2.5,-3.22,8.22,-1.47,0.39
Motion-o (7B),mbhuman,hornet,24,240,60,3.33,0.92,11.36,7.5,7.5,52.92,5.42,10,3,110,117,0,8.33,97.5,5.83,0.15,11.51,-0.93,0.9
Motion-o (7B),mbhuman,f2c,1,240,60,0.0,-0.0,6.02,4.17,3.33,51.25,2.92,5,2,115,118,0,4.17,98.33,2.5,-1.75,6.75,-2.0,0.39
Motion-o (7B),mbhuman,f2c,4,240,60,0.0,-0.0,6.02,1.67,2.5,50.0,3.33,4,4,116,116,0,3.33,96.67,0.0,-4.54,4.54,-2.0,0.0
Motion-o (7B),mbhuman,f2c,8,240,60,0.0,-0.0,6.02,4.17,5.0,50.83,4.17,6,4,114,116,0,5.0,96.67,1.67,-3.39,6.72,-2.0,0.26
Motion-o (7B),mbhuman,f2c,16,240,60,3.33,0.92,11.36,8.33,9.17,53.75,7.92,14,5,106,115,0,11.67,95.83,7.5,0.73,14.27,-0.93,1.16
Motion-o (7B),mbhuman,f2c,24,240,60,5.0,1.71,13.7,9.17,10.0,53.75,6.25,12,3,108,117,0,10.0,97.5,7.5,1.45,13.55,-0.4,1.16
Molmo2-8B,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,5.83,5.0,50.0,81.67,98,98,22,22,0,81.67,18.33,0.0,-9.79,9.79,-2.0,0.0
Molmo2-8B,mbhuman,uniform,4,240,60,1.67,0.29,8.86,7.5,10.83,51.67,81.67,100,96,20,24,0,83.33,20.0,3.33,-6.45,13.12,-1.47,0.52
Molmo2-8B,mbhuman,uniform,8,240,60,1.67,0.29,8.86,7.5,10.83,52.5,83.33,103,97,17,23,0,85.83,19.17,5.0,-4.41,14.41,-1.47,0.77
Molmo2-8B,mbhuman,uniform,16,240,60,1.67,0.29,8.86,10.0,11.67,54.17,80.83,102,92,18,28,0,85.0,23.33,8.33,-1.57,18.24,-1.47,1.29
Molmo2-8B,mbhuman,uniform,24,240,60,3.33,0.92,11.36,7.5,11.67,53.75,82.08,103,94,17,26,0,85.83,21.67,7.5,-2.16,17.16,-0.93,1.16
Molmo2-8B,mbhuman,random,1,240,60,0.0,-0.0,6.02,13.33,8.33,50.42,74.58,90,89,30,31,0,75.0,25.83,0.83,-10.18,11.85,-2.0,0.13
Molmo2-8B,mbhuman,random,4,240,60,0.0,-0.0,6.02,6.67,11.67,50.42,76.25,92,91,28,29,0,76.67,24.17,0.83,-9.93,11.6,-2.0,0.13
Molmo2-8B,mbhuman,random,8,240,60,3.33,0.92,11.36,16.67,14.17,54.17,80.83,102,92,18,28,0,85.0,23.33,8.33,-1.57,18.24,-0.93,1.29
Molmo2-8B,mbhuman,random,16,240,60,1.67,0.29,8.86,10.0,12.5,53.33,82.5,103,95,17,25,0,85.83,20.83,6.67,-2.91,16.24,-1.47,1.03
Molmo2-8B,mbhuman,random,24,240,60,3.33,0.92,11.36,7.5,10.83,52.5,83.33,103,97,17,23,0,85.83,19.17,5.0,-4.41,14.41,-0.93,0.77
Molmo2-8B,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,5.83,10.83,50.83,70.83,86,84,34,36,0,71.67,30.0,1.67,-9.83,13.17,-2.0,0.26
Molmo2-8B,mbhuman,hornet,4,240,60,1.67,0.29,8.86,10.0,9.17,52.5,80.0,99,93,21,27,0,82.5,22.5,5.0,-5.1,15.1,-1.47,0.77
Molmo2-8B,mbhuman,hornet,8,240,60,1.67,0.29,8.86,9.17,9.17,50.83,76.67,93,91,27,29,0,77.5,24.17,1.67,-9.03,12.37,-1.47,0.26
Molmo2-8B,mbhuman,hornet,16,240,60,1.67,0.29,8.86,10.83,10.0,52.5,82.5,102,96,18,24,0,85.0,20.0,5.0,-4.59,14.59,-1.47,0.77
Molmo2-8B,mbhuman,hornet,24,240,60,3.33,0.92,11.36,7.5,10.0,53.33,85.0,106,98,14,22,0,88.33,18.33,6.67,-2.33,15.66,-0.93,1.03
Molmo2-8B,mbhuman,f2cfull,1,240,60,1.67,0.29,8.86,14.17,14.17,53.75,77.92,98,89,22,31,0,81.67,25.83,7.5,-2.95,17.95,-1.47,1.16
Molmo2-8B,mbhuman,f2cfull,4,240,60,1.67,0.29,8.86,10.0,9.17,52.92,82.08,102,95,18,25,0,85.0,20.83,5.83,-3.84,15.51,-1.47,0.9
Molmo2-8B,mbhuman,f2cfull,8,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
Molmo2-8B,mbhuman,f2cfull,16,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
Molmo2-8B,mbhuman,f2cfull,24,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
Gemini 3.1 Pro,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,10.0,21.67,49.58,27.31,32,33,86,87,2,27.12,72.5,-0.38,-11.7,10.94,-2.0,-0.13
Gemini 3.1 Pro,mbhuman,uniform,4,240,60,41.67,30.06,54.27,52.5,59.17,72.92,43.22,80,22,39,95,4,67.23,81.2,48.42,37.41,59.44,11.33,7.1
Gemini 3.1 Pro,mbhuman,uniform,8,240,60,45.0,33.09,57.51,60.83,62.5,77.08,48.54,91,25,29,94,1,75.83,78.99,54.82,44.23,65.42,12.4,8.39
Gemini 3.1 Pro,mbhuman,uniform,16,240,60,53.33,40.89,65.37,65.0,68.33,79.17,48.33,93,23,27,97,0,77.5,80.83,58.33,48.07,68.6,15.07,9.04
Gemini 3.1 Pro,mbhuman,uniform,24,240,60,60.0,47.37,71.43,69.17,71.67,80.83,50.83,98,24,22,96,0,81.67,80.0,61.67,51.71,71.62,17.2,9.55
Gemini 3.1 Pro,mbhuman,random,1,240,60,8.33,3.61,18.07,20.83,23.33,52.5,29.41,38,32,80,88,2,32.2,73.33,5.54,-6.03,17.1,0.67,0.77
Gemini 3.1 Pro,mbhuman,random,4,240,60,26.67,17.13,39.01,40.0,46.67,66.67,36.6,64,22,53,96,5,54.7,81.36,36.06,24.62,47.49,6.53,5.16
Gemini 3.1 Pro,mbhuman,random,8,240,60,40.0,28.57,52.63,52.5,55.83,71.67,46.81,83,27,36,89,5,69.75,76.72,46.47,35.19,57.75,10.8,6.71
Gemini 3.1 Pro,mbhuman,random,16,240,60,48.33,36.17,60.69,62.5,65.0,77.08,52.08,95,30,25,90,0,79.17,75.0,54.17,43.54,64.79,13.47,8.39
Gemini 3.1 Pro,mbhuman,random,24,240,60,46.67,34.63,59.11,58.33,61.67,75.0,50.83,91,31,29,89,0,75.83,74.17,50.0,39.05,60.95,12.93,7.75
Gemini 3.1 Pro,mbhuman,hornet,1,240,60,10.0,4.66,20.15,22.5,32.5,57.5,35.0,51,33,69,87,0,42.5,72.5,15.0,3.08,26.92,1.2,2.32
Gemini 3.1 Pro,mbhuman,hornet,4,240,60,8.33,3.61,18.07,19.17,22.5,54.58,20.25,31,17,89,100,3,25.83,85.47,11.3,1.2,21.41,0.67,1.42
Gemini 3.1 Pro,mbhuman,hornet,8,240,60,8.33,3.61,18.07,24.17,26.67,56.67,30.67,45,28,74,91,2,37.82,76.47,14.29,2.71,25.86,0.67,2.07
Gemini 3.1 Pro,mbhuman,hornet,16,240,60,35.0,24.17,47.64,51.67,52.5,72.08,42.08,77,24,43,96,0,64.17,80.0,44.17,32.99,55.34,9.2,6.84
Gemini 3.1 Pro,mbhuman,hornet,24,240,60,41.67,30.06,54.27,56.67,57.5,72.92,50.42,88,33,32,87,0,73.33,72.5,45.83,34.59,57.08,11.33,7.1
Gemini 3.1 Pro,mbhuman,f2cfull,1,240,60,8.33,3.61,18.07,15.0,26.67,51.67,30.54,39,34,81,85,1,32.5,71.43,3.93,-7.74,15.6,0.67,0.52
Gemini 3.1 Pro,mbhuman,f2cfull,4,240,60,23.33,14.44,35.44,35.83,38.33,61.25,32.63,53,24,65,94,4,44.92,79.66,24.58,13.03,36.12,5.47,3.49
Gemini 3.1 Pro,mbhuman,f2cfull,8,240,60,26.67,17.13,39.01,38.33,42.5,62.5,35.59,57,27,59,93,4,49.14,77.5,26.64,14.87,38.41,6.53,3.87
Gemini 3.1 Pro,mbhuman,f2cfull,16,240,60,26.67,17.13,39.01,38.33,44.17,63.33,34.31,57,25,62,95,1,47.9,79.17,27.07,15.52,38.61,6.53,4.13
Gemini 3.1 Pro,mbhuman,f2cfull,24,240,60,28.33,18.51,40.77,40.0,45.0,63.75,37.02,61,26,56,92,5,52.14,77.97,30.1,18.36,41.84,7.07,4.26
GPT-5.6,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,1.67,1.67,50.0,1.67,2,2,118,118,0,1.67,98.33,0.0,-3.24,3.24,-2.0,0.0
GPT-5.6,mbhuman,uniform,4,240,60,15.0,8.1,26.11,25.83,27.5,58.75,63.75,87,66,33,54,0,72.5,45.0,17.5,5.54,29.46,2.8,2.71
GPT-5.6,mbhuman,uniform,8,240,60,15.0,8.1,26.11,27.5,29.17,60.42,69.58,96,71,24,49,0,80.0,40.83,20.83,9.49,32.17,2.8,3.23
GPT-5.6,mbhuman,uniform,16,240,60,11.67,5.77,22.18,20.83,24.17,55.83,70.83,92,78,28,42,0,76.67,35.0,11.67,0.26,23.07,1.73,1.81
GPT-5.6,mbhuman,uniform,24,240,60,10.0,4.66,20.15,20.83,22.5,56.67,74.17,97,81,23,39,0,80.83,32.5,13.33,2.39,24.28,1.2,2.07
GPT-5.6,mbhuman,random,1,240,60,1.67,0.29,8.86,5.0,5.0,52.08,3.75,7,2,113,118,0,5.83,98.33,4.17,-0.61,8.94,-1.47,0.65
GPT-5.6,mbhuman,random,4,240,60,13.33,6.91,24.17,37.5,36.67,62.08,50.42,75,46,45,74,0,62.5,61.67,24.17,11.89,36.44,2.27,3.74
GPT-5.6,mbhuman,random,8,240,60,15.0,8.1,26.11,30.83,30.83,60.83,65.0,91,65,29,55,0,75.83,45.83,21.67,9.91,33.42,2.8,3.36
GPT-5.6,mbhuman,random,16,240,60,13.33,6.91,24.17,24.17,25.83,56.25,70.42,92,77,28,43,0,76.67,35.83,12.5,1.06,23.94,2.27,1.94
GPT-5.6,mbhuman,random,24,240,60,13.33,6.91,24.17,23.33,25.83,57.08,72.08,95,78,25,42,0,79.17,35.0,14.17,2.96,25.38,2.27,2.19
GPT-5.6,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,4.17,4.17,52.08,2.92,6,1,114,119,0,5.0,99.17,4.17,-0.06,8.39,-2.0,0.65
GPT-5.6,mbhuman,hornet,4,240,60,6.67,2.62,15.93,20.0,15.83,52.92,37.08,48,41,72,79,0,40.0,65.83,5.83,-6.37,18.03,0.13,0.9
GPT-5.6,mbhuman,hornet,8,240,60,6.67,2.62,15.93,22.5,20.83,55.0,46.67,62,50,58,70,0,51.67,58.33,10.0,-2.56,22.56,0.13,1.55
GPT-5.6,mbhuman,hornet,16,240,60,8.33,3.61,18.07,25.83,26.67,54.58,63.75,82,71,38,49,0,68.33,40.83,9.17,-2.94,21.28,0.67,1.42
GPT-5.6,mbhuman,hornet,24,240,60,10.0,4.66,20.15,23.33,20.0,52.5,72.5,90,84,30,36,0,75.0,30.0,5.0,-6.28,16.28,1.2,0.77
GPT-5.6-Luna-288x512,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,1.67,1.67,49.17,2.5,2,4,118,116,0,1.67,96.67,-1.67,-5.61,2.28,-2.0,-0.26
Gemma-4-12B-it,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,0.83,1.67,39.17,1.65,2,1,87,92,58,2.25,98.92,1.17,-2.55,4.9,-2.0,-3.36
GPT-5.6-Luna-288x512,mbhuman,uniform,4,240,60,5.0,1.71,13.7,23.33,27.5,57.08,50.42,69,52,51,68,0,57.5,56.67,14.17,1.64,26.69,-0.4,2.19
Gemma-4-12B-it,mbhuman,uniform,4,240,60,1.67,0.29,8.86,6.67,5.83,51.25,8.79,12,9,107,111,1,10.08,92.5,2.58,-4.59,9.76,-1.47,0.39
GPT-5.6-Luna-288x512,mbhuman,uniform,8,240,60,8.33,3.61,18.07,25.83,20.83,54.58,61.25,79,68,41,52,0,65.83,43.33,9.17,-3.11,21.44,0.67,1.42
Gemma-4-12B-it,mbhuman,uniform,8,240,60,0.0,-0.0,6.02,8.33,9.17,53.75,7.92,14,5,106,115,0,11.67,95.83,7.5,0.73,14.27,-2.0,1.16
GPT-5.6-Luna-288x512,mbhuman,uniform,16,240,60,8.33,3.61,18.07,25.0,25.83,56.67,68.33,90,74,30,46,0,75.0,38.33,13.33,1.68,24.98,0.67,2.07
Gemma-4-12B-it,mbhuman,uniform,16,240,60,1.67,0.29,8.86,7.5,8.33,52.5,6.67,11,5,109,115,0,9.17,95.83,5.0,-1.28,11.28,-1.47,0.77
GPT-5.6-Luna-288x512,mbhuman,uniform,24,240,60,8.33,3.61,18.07,22.5,22.5,55.0,69.17,89,77,31,43,0,74.17,35.83,10.0,-1.62,21.62,0.67,1.55
Gemma-4-12B-it,mbhuman,uniform,24,240,60,3.33,0.92,11.36,8.33,8.33,52.92,7.08,12,5,108,115,0,10.0,95.83,5.83,-0.62,12.28,-0.93,0.9
GPT-5.6-Luna-288x512,mbhuman,random,1,240,60,0.0,-0.0,6.02,3.33,3.33,50.83,2.5,4,2,116,118,0,3.33,98.33,1.67,-2.28,5.61,-2.0,0.26
Gemma-4-12B-it,mbhuman,random,1,240,60,0.0,-0.0,6.02,0.83,2.5,38.33,2.76,3,2,87,89,59,3.33,97.8,1.14,-3.64,5.91,-2.0,-3.61
GPT-5.6-Luna-288x512,mbhuman,random,4,240,60,5.0,1.71,13.7,25.83,28.33,56.67,37.5,53,37,67,83,0,44.17,69.17,13.33,1.2,25.47,-0.4,2.07
Gemma-4-12B-it,mbhuman,random,4,240,60,0.0,-0.0,6.02,4.17,3.33,50.42,5.42,7,6,113,114,0,5.83,95.0,0.83,-4.89,6.56,-2.0,0.13
GPT-5.6-Luna-288x512,mbhuman,random,8,240,60,10.0,4.66,20.15,25.0,25.83,52.5,59.17,74,68,46,52,0,61.67,43.33,5.0,-7.42,17.42,1.2,0.77
Gemma-4-12B-it,mbhuman,random,8,240,60,1.67,0.29,8.86,5.0,6.67,51.67,7.5,11,7,109,113,0,9.17,94.17,3.33,-3.32,9.98,-1.47,0.52
