benchmark,i,x,y
TimeBlind,70,0.53065,0.31827
TimeBlind,71,0.57274,0.33294
TimeBlind,72,0.55969,0.46399
TimeBlind,73,0.53856,0.46760
TimeBlind,74,0.84164,0.56718
TimeBlind,75,0.85699,0.52738
TimeBlind,76,0.57266,0.16594
TimeBlind,77,0.61048,0.28789
TimeBlind,78,0.60165,0.40492
TimeBlind,79,0.60363,0.26974
TimeBlind,80,0.76488,0.51589
TimeBlind,81,0.76712,0.54058
TimeBlind,82,0.70905,0.49734
TimeBlind,83,0.57456,0.51234
TimeBlind,84,0.53459,0.35016
TimeBlind,85,0.55459,0.24461
TimeBlind,86,0.78666,0.37181
TimeBlind,87,0.75776,0.34419
TimeBlind,88,0.64170,0.45267
TimeBlind,89,0.56878,0.54283
TimeBlind,90,0.32882,0.24587
TimeBlind,91,0.29727,0.21177
TimeBlind,92,0.60437,0.17235
TimeBlind,93,0.56018,0.13958
TimeBlind,94,0.44517,0.26606
TimeBlind,95,0.46271,0.21518
TimeBlind,96,0.34566,0.37566
TimeBlind,97,0.40252,0.28918
TimeBlind,98,0.55834,0.20550
TimeBlind,99,0.54780,0.24983
TimeBlind,100,0.58098,0.28946
TimeBlind,101,0.55829,0.26770
TimeBlind,102,0.57568,0.21832
TimeBlind,103,0.54356,0.17556
TimeBlind,104,0.70160,0.28557
TimeBlind,105,0.66737,0.36717
TimeBlind,106,0.64367,0.28748
TimeBlind,107,0.68408,0.26395
TimeBlind,108,0.65364,0.39313
TimeBlind,109,0.64888,0.40247
TimeBlind,110,0.67793,0.49448
TimeBlind,111,0.67512,0.50689
TimeBlind,112,0.82636,0.44332
TimeBlind,113,0.81933,0.42559
TimeBlind,114,0.60657,0.41648
TimeBlind,115,0.61302,0.39241
TimeBlind,116,0.52168,0.42562
TimeBlind,117,0.52176,0.44210
TimeBlind,118,0.84597,0.48319
TimeBlind,119,0.82750,0.48714
TimeBlind,120,0.58113,0.33478
TimeBlind,121,0.53122,0.29825
TimeBlind,122,0.77288,0.53151
TimeBlind,123,0.78867,0.44503
TimeBlind,124,0.79866,0.24335
TimeBlind,125,0.78479,0.24260
TimeBlind,126,0.67175,0.21590
TimeBlind,127,0.67745,0.20850
TimeBlind,128,0.67446,0.21365
TimeBlind,129,0.69002,0.21709
TimeBlind,130,0.80497,0.29580
TimeBlind,131,0.79326,0.36168
TimeBlind,132,0.81218,0.19271
TimeBlind,133,0.74015,0.13968
TimeBlind,134,0.61603,0.29188
TimeBlind,135,0.62673,0.28352
TimeBlind,136,0.77637,0.43159
TimeBlind,137,0.71144,0.39538
TimeBlind,138,0.77391,0.21279
TimeBlind,139,0.75068,0.29430
TimeBlind,140,0.77217,0.27172
TimeBlind,141,0.79442,0.26139
TimeBlind,142,0.77539,0.45696
TimeBlind,143,0.80349,0.36980
TimeBlind,144,0.61102,0.13914
TimeBlind,145,0.64570,0.04911
TimeBlind,146,0.57908,0.28495
TimeBlind,147,0.66188,0.37191
TimeBlind,148,0.54929,0.16113
TimeBlind,149,0.54899,0.15254
TimeBlind,150,0.58532,0.17631
TimeBlind,151,0.70747,0.34774
TimeBlind,152,0.77326,0.40578
TimeBlind,153,0.77724,0.40509
TimeBlind,154,0.65403,0.50389
TimeBlind,155,0.68327,0.38269
TimeBlind,156,0.65010,0.50208
TimeBlind,157,0.69099,0.56316
TimeBlind,158,0.60524,0.18869
TimeBlind,159,0.58680,0.12161
TimeBlind,160,0.55265,0.26470
TimeBlind,161,0.55290,0.19366
TimeBlind,162,0.54893,0.56773
TimeBlind,163,0.54834,0.61104
TimeBlind,164,0.61923,0.28434
TimeBlind,165,0.63339,0.27888
TimeBlind,166,0.54180,0.39602
TimeBlind,167,0.56019,0.49137
TimeBlind,168,0.49976,0.43875
TimeBlind,169,0.49532,0.41174
TimeBlind,170,0.62978,0.38576
TimeBlind,171,0.62609,0.41103
TimeBlind,172,0.56372,0.32554
TimeBlind,173,0.55476,0.32090
TimeBlind,174,0.56131,0.47974
TimeBlind,175,0.52514,0.47995
TimeBlind,176,0.64791,0.35643
TimeBlind,177,0.67874,0.43841
TimeBlind,178,0.70806,0.33038
TimeBlind,179,0.70718,0.29634
TimeBlind,180,0.53424,0.56455
TimeBlind,181,0.52293,0.60265
TimeBlind,182,0.61551,0.61977
TimeBlind,183,0.61811,0.66778
TimeBlind,184,0.80258,0.34320
TimeBlind,185,0.82498,0.37914
TimeBlind,186,0.68486,0.18626
TimeBlind,187,0.69322,0.30357
TimeBlind,188,0.81753,0.36264
TimeBlind,189,0.81620,0.34518
TimeBlind,190,0.83573,0.33154
TimeBlind,191,0.81562,0.34456
TimeBlind,192,0.78045,0.22589
TimeBlind,193,0.60536,0.38051
TimeBlind,194,0.68888,0.31094
TimeBlind,195,0.72257,0.31261
TimeBlind,196,0.61443,0.30736
TimeBlind,197,0.60146,0.29004
TimeBlind,198,0.66953,0.36966
TimeBlind,199,0.57421,0.41894
TimeBlind,200,0.56559,0.40608
TimeBlind,201,0.54105,0.42348
TimeBlind,202,0.66992,0.30146
TimeBlind,203,0.63080,0.23319
TimeBlind,204,0.72374,0.71375
TimeBlind,205,0.72055,0.71559
TimeBlind,206,0.72463,0.30265
TimeBlind,207,0.72269,0.30330
TimeBlind,208,0.69379,0.30006
TimeBlind,209,0.69923,0.29597
TimeBlind,210,0.64668,0.47821
TimeBlind,211,0.65769,0.47006
TimeBlind,212,0.71888,0.70809
TimeBlind,213,0.67442,0.72950
TimeBlind,214,0.81102,0.52854
TimeBlind,215,0.81352,0.60623
TimeBlind,216,0.63200,0.35541
TimeBlind,217,0.58747,0.29583
TimeBlind,218,0.49057,0.36884
TimeBlind,219,0.44872,0.35855
TimeBlind,220,0.42301,0.46917
TimeBlind,221,0.39821,0.43401
TimeBlind,222,0.77402,0.35016
TimeBlind,223,0.80505,0.39343
TimeBlind,224,0.86189,0.55313
TimeBlind,225,0.87532,0.54130
TimeBlind,226,0.44035,0.13688
TimeBlind,227,0.43852,0.14500
TimeBlind,228,0.64953,0.51528
TimeBlind,229,0.64106,0.54024
TimeBlind,230,0.50177,0.31172
TimeBlind,231,0.44851,0.36291
TimeBlind,232,0.47500,0.35384
TimeBlind,233,0.52254,0.35790
TimeBlind,234,0.51740,0.30998
TimeBlind,235,0.53089,0.29133
TimeBlind,236,0.61545,0.51044
TimeBlind,237,0.61118,0.47933
TimeBlind,238,0.47089,0.27261
TimeBlind,239,0.43396,0.27745
TimeBlind,240,0.53856,0.37781
TimeBlind,241,0.53231,0.30173
TimeBlind,242,0.44945,0.50853
TimeBlind,243,0.44043,0.53628
TimeBlind,244,0.80235,0.46661
TimeBlind,245,0.78673,0.47633
TimeBlind,246,0.76637,0.40261
TimeBlind,247,0.68911,0.33972
TimeBlind,248,0.53980,0.31844
TimeBlind,249,0.46176,0.29832
TimeBlind,250,0.60408,0.28025
TimeBlind,251,0.61151,0.31507
TimeBlind,252,0.57082,0.35807
TimeBlind,253,0.61249,0.30712
TimeBlind,254,0.57336,0.05412
TimeBlind,255,0.59347,0.01828
TimeBlind,256,0.59741,0.24905
TimeBlind,257,0.58817,0.11895
TimeBlind,258,0.51758,0.27196
TimeBlind,259,0.50928,0.27452
TimeBlind,260,0.52523,0.37089
TimeBlind,261,0.52279,0.35749
TimeBlind,262,0.52154,0.46082
TimeBlind,263,0.46848,0.51514
TimeBlind,264,0.56665,0.68787
TimeBlind,265,0.58012,0.61462
TimeBlind,266,0.52215,0.73312
TimeBlind,267,0.52031,0.77077
TimeBlind,268,0.80298,0.48063
TimeBlind,269,0.83960,0.50014
TimeBlind,270,0.77847,0.41232
TimeBlind,271,0.76966,0.26719
TimeBlind,272,0.58398,0.17931
TimeBlind,273,0.60469,0.13893
TimeBlind,274,0.70405,0.33399
TimeBlind,275,0.69133,0.33645
TimeBlind,276,0.66879,0.24154
TimeBlind,277,0.65417,0.26415
TimeBlind,278,0.51360,0.44987
TimeBlind,279,0.54555,0.44738
TimeBlind,280,0.47366,0.39926
TimeBlind,281,0.58254,0.36878
TimeBlind,282,0.51621,0.57230
TimeBlind,283,0.50397,0.58580
TimeBlind,284,0.50676,0.36503
TimeBlind,285,0.49099,0.38324
TimeBlind,286,0.57365,0.35299
TimeBlind,287,0.54183,0.42334
TimeBlind,288,0.45971,0.39561
TimeBlind,289,0.59564,0.20175
TimeBlind,290,0.56574,0.24625
TimeBlind,291,0.40210,0.24802
TimeBlind,292,0.53557,0.52749
TimeBlind,293,0.55354,0.48083
TimeBlind,294,0.58191,0.47098
TimeBlind,295,0.59678,0.44932
TimeBlind,296,0.45995,0.15830
TimeBlind,297,0.58219,0.00815
TimeBlind,298,0.34599,0.14128
TimeBlind,299,0.33169,0.21757
TimeBlind,300,0.67955,0.47947
TimeBlind,301,0.73327,0.48264
TimeBlind,302,0.52193,0.40008
TimeBlind,303,0.50226,0.31149
TimeBlind,304,0.56025,0.22811
TimeBlind,305,0.52347,0.20434
TimeBlind,306,0.63625,0.38174
TimeBlind,307,0.63564,0.27612
TimeBlind,308,0.66283,0.22470
TimeBlind,309,0.65020,0.25798
TimeBlind,310,0.55813,0.26702
TimeBlind,311,0.55451,0.30845
TimeBlind,312,0.55184,0.27824
TimeBlind,313,0.54809,0.27619
TimeBlind,314,0.62686,0.42586
TimeBlind,315,0.63385,0.46532
TimeBlind,316,0.44432,0.19615
TimeBlind,317,0.49652,0.14896
TimeBlind,318,0.84175,0.45485
TimeBlind,319,0.84771,0.44319
TimeBlind,320,0.59863,0.48111
TimeBlind,321,0.60362,0.47944
TimeBlind,322,0.75231,0.37485
TimeBlind,323,0.77298,0.35520
TimeBlind,324,0.63970,0.28096
TimeBlind,325,0.56328,0.24461
TimeBlind,326,0.67287,0.17065
TimeBlind,327,0.63042,0.31851
TimeBlind,328,0.56056,0.52687
TimeBlind,329,0.54866,0.60930
TimeBlind,330,0.64444,0.38801
TimeBlind,331,0.65844,0.37215
TimeBlind,332,0.73938,0.25815
TimeBlind,333,0.74508,0.22118
TimeBlind,334,0.64953,0.37253
TimeBlind,335,0.49554,0.29716
TimeBlind,336,0.47960,0.24908
TimeBlind,337,0.40126,0.30269
TimeBlind,338,0.41177,0.22098
TimeBlind,339,0.52629,0.65482
TimeBlind,340,0.53448,0.60449
TimeBlind,341,0.72709,0.09712
TimeBlind,342,0.60132,0.12621
TimeBlind,343,0.49461,0.25979
TimeBlind,344,0.48777,0.27165
TimeBlind,345,0.82226,0.14691
TimeBlind,346,0.76108,0.33959
TimeBlind,347,0.79857,0.22009
TimeBlind,348,0.81001,0.25150
TimeBlind,349,0.81323,0.20884
TimeBlind,350,0.80515,0.18722
TimeBlind,351,0.53465,0.41120
TimeBlind,352,0.52721,0.40189
TimeBlind,353,0.76290,0.34225
TimeBlind,354,0.74180,0.31537
TimeBlind,355,0.87800,0.60203
TimeBlind,356,0.84276,0.68381
TimeBlind,357,0.89710,0.46678
TimeBlind,358,0.75397,0.50355
TimeBlind,359,0.84793,0.32308
TimeBlind,360,0.97532,0.19138
TimeBlind,361,0.82490,0.46979
TimeBlind,362,0.74163,0.32993
TimeBlind,363,0.72002,0.20707
TimeBlind,364,0.72830,0.24731
TimeBlind,365,0.76706,0.31987
TimeBlind,366,0.72150,0.30460
TimeBlind,367,0.79015,0.40117
TimeBlind,368,0.72307,0.23864
TimeBlind,369,0.76794,0.40799
TimeBlind,370,0.77544,0.40585
TimeBlind,371,0.82842,0.27203
TimeBlind,372,0.75671,0.37512
TimeBlind,373,0.73742,0.33774
TimeBlind,374,0.73182,0.34139
TimeBlind,375,0.70778,0.27980
TimeBlind,376,0.65699,0.23254
TimeBlind,377,0.64823,0.48963
TimeBlind,378,0.73143,0.35947
TimeBlind,379,0.58367,0.00000
TimeBlind,380,0.56929,0.03124
TimeBlind,381,0.63680,0.48193
TimeBlind,382,0.58801,0.42368
TimeBlind,383,0.40277,0.57571
TimeBlind,384,0.41293,0.56841
TimeBlind,385,0.53713,0.54539
TimeBlind,386,0.70373,0.68163
TimeBlind,387,0.70575,0.51248
TimeBlind,388,0.55374,0.58519
TimeBlind,389,0.57290,0.59760
TimeBlind,390,0.78951,0.52704
TimeBlind,391,0.73758,0.41536
TimeBlind,392,0.73164,0.42535
TimeBlind,393,0.71635,0.23687
TimeBlind,394,0.62949,0.36741
TimeBlind,395,0.63949,0.26088
TimeBlind,396,0.62374,0.40588
TimeBlind,397,0.62009,0.41475
TimeBlind,398,0.60908,0.34859
TimeBlind,399,0.70238,0.60346
TimeBlind,400,0.70637,0.57847
TimeBlind,401,0.84657,0.37403
TimeBlind,402,0.85021,0.43275
TimeBlind,403,0.79812,0.37853
TimeBlind,404,0.76228,0.43603
TimeBlind,405,0.68015,0.43841
TimeBlind,406,0.68450,0.41935
TimeBlind,407,0.44313,0.44762
TimeBlind,408,0.68550,0.52377
TimeBlind,409,0.62149,0.32281
TimeBlind,410,0.61360,0.28748
TimeBlind,411,0.73443,0.49741
TimeBlind,412,0.72257,0.44820
TimeBlind,413,0.56495,0.45076
TimeBlind,414,0.57259,0.41591
TimeBlind,415,0.73419,0.52206
TimeBlind,416,0.75396,0.59415
TimeBlind,417,0.74957,0.77425
TimeBlind,418,0.76631,0.82093
TimeBlind,419,0.69741,0.58921
TimeBlind,420,0.71521,0.61144
TimeBlind,421,0.70213,0.41311
TimeBlind,422,0.63905,0.22923
TimeBlind,423,0.69064,0.41580
TimeBlind,424,0.76677,0.31517
TimeBlind,425,0.81486,0.39940
TimeBlind,426,0.81369,0.44012
TimeBlind,427,0.61185,0.47702
TimeBlind,428,0.66466,0.42832
TimeBlind,429,0.78525,0.69660
TimeBlind,430,0.74814,0.41918
TimeBlind,431,0.65713,0.36533
TimeBlind,432,0.60950,0.24291
TimeBlind,433,0.76603,0.36813
TimeBlind,434,0.80038,0.40458
TimeBlind,435,0.62982,0.14899
TimeBlind,436,0.63421,0.14602
TimeBlind,437,0.71432,0.40230
TimeBlind,438,0.70865,0.48875
TimeBlind,439,0.65713,0.13750
TimeBlind,440,0.55731,0.17331
TimeBlind,441,0.60560,0.32359
TimeBlind,442,0.68860,0.30555
TimeBlind,443,0.58038,0.36243
TimeBlind,444,0.59870,0.42920
TimeBlind,445,0.65622,0.20352
TimeBlind,446,0.63401,0.19329
TimeBlind,447,0.61699,0.10711
TimeBlind,448,0.66287,0.11840
TimeBlind,449,0.65003,0.36789
TimeBlind,450,0.57934,0.24666
TimeBlind,451,0.64784,0.30429
TimeBlind,452,0.58444,0.28598
TimeBlind,453,0.68693,0.23561
TimeBlind,454,0.63083,0.36516
TimeBlind,455,0.62752,0.47449
TimeBlind,456,0.64299,0.48646
TimeBlind,457,0.66188,0.21631
TimeBlind,458,0.68817,0.34112
TimeBlind,459,0.68519,0.35687
TimeBlind,460,0.58356,0.56568
TimeBlind,461,0.68258,0.21887
TimeBlind,462,0.65923,0.27281
TimeBlind,463,0.68006,0.26749
TimeBlind,464,0.68136,0.30733
TimeBlind,465,0.64086,0.43926
TimeBlind,466,0.76392,0.26872
TimeBlind,467,0.59027,0.32704
TimeBlind,468,0.53055,0.51023
TimeBlind,469,0.78114,0.10360
TimeBlind,470,0.49360,0.31166
TimeBlind,471,0.65754,0.20318
TimeBlind,472,0.61084,0.26770
TimeBlind,473,0.66253,0.24413
TimeBlind,474,0.65540,0.37754
TimeBlind,475,0.61847,0.43125
TimeBlind,476,0.47508,0.61509
TimeBlind,477,0.66398,0.16307
TimeBlind,478,0.63464,0.24240
TimeBlind,479,0.68396,0.21167
TimeBlind,480,0.46953,0.45727
TimeBlind,481,0.61176,0.27009
TimeBlind,482,0.50464,0.41362
TimeBlind,483,0.67611,0.32414
TimeBlind,484,0.71533,0.24465
TimeBlind,485,0.62207,0.40820
TimeBlind,486,0.63161,0.42129
TimeBlind,487,0.64206,0.30958
TimeBlind,488,0.64886,0.31670
TimeBlind,489,0.69818,0.22835
TimeBlind,490,0.68911,0.24393
TimeBlind,491,0.72894,0.24226
TimeBlind,492,0.57970,0.19881
TimeBlind,493,0.52900,0.40629
TimeBlind,494,0.57367,0.17078
TimeBlind,495,0.50006,0.56527
TimeBlind,496,0.69376,0.11363
TimeBlind,497,0.66785,0.12017
TimeBlind,498,0.60824,0.25856
TimeBlind,499,0.59699,0.19213
TimeBlind,500,0.30404,0.47678
TimeBlind,501,0.29335,0.45055
TimeBlind,502,0.35078,0.23206
TimeBlind,503,0.34670,0.23155
TimeBlind,504,0.44401,0.40544
TimeBlind,505,0.45856,0.43589
TimeBlind,506,0.55494,0.32069
TimeBlind,507,0.53347,0.14701
TimeBlind,508,0.56673,0.20277
TimeBlind,509,0.58008,0.36209
TimeBlind,510,0.68125,0.27367
TimeBlind,511,0.60398,0.30320
TimeBlind,512,0.67125,0.38399
TimeBlind,513,0.67248,0.38129
TimeBlind,514,0.62770,0.21136
TimeBlind,515,0.63223,0.19609
TimeBlind,516,0.57615,0.40264
TimeBlind,517,0.60026,0.41669
TimeBlind,518,0.73073,0.35023
TimeBlind,519,0.71642,0.38180
TimeBlind,520,0.54127,0.32015
TimeBlind,521,0.55793,0.50399
TimeBlind,522,0.77179,0.21713
TimeBlind,523,0.77579,0.24662
TimeBlind,524,0.73867,0.57891
TimeBlind,525,0.73285,0.57956
TimeBlind,526,0.70691,0.35953
TimeBlind,527,0.70855,0.31449
TimeBlind,528,0.81537,0.51732
TimeBlind,529,0.77890,0.59415
TimeBlind,530,0.55550,0.16799
TimeBlind,531,0.56388,0.10336
TimeBlind,532,0.57702,0.29065
TimeBlind,533,0.57677,0.37260
TimeBlind,534,0.58700,0.38269
TimeBlind,535,0.58801,0.28502
TimeBlind,536,0.50777,0.37798
TimeBlind,537,0.52013,0.37491
TimeBlind,538,0.68735,0.21116
TimeBlind,539,0.68677,0.19431
TimeBlind,540,0.66614,0.36547
TimeBlind,541,0.65895,0.38184
TimeBlind,542,0.56232,0.34941
TimeBlind,543,0.55755,0.32738
TimeBlind,544,0.82213,0.54505
TimeBlind,545,0.82355,0.54808
TimeBlind,546,0.77535,0.38562
TimeBlind,547,0.70740,0.51057
TimeBlind,548,0.53884,0.23066
TimeBlind,549,0.53979,0.41386
TimeBlind,550,0.46674,0.39892
TimeBlind,551,0.59294,0.29321
TimeBlind,552,0.74073,0.30794
TimeBlind,553,0.63963,0.47193
TimeBlind,554,0.60117,0.42099
TimeBlind,555,0.61062,0.39190
TimeBlind,556,0.65903,0.43248
TimeBlind,557,0.65882,0.42695
TimeBlind,558,0.64517,0.46696
TimeBlind,559,0.64343,0.46269
TimeBlind,560,0.78839,0.71344
TimeBlind,561,0.76270,0.75157
TimeBlind,562,0.62234,0.24008
TimeBlind,563,0.60078,0.22609
TimeBlind,564,0.89462,0.47241
TimeBlind,565,0.85201,0.61970
TimeBlind,566,0.54468,0.46757
TimeBlind,567,0.55287,0.21361
TimeBlind,568,0.61319,0.25887
TimeBlind,569,0.60412,0.25228
TimeBlind,570,0.55164,0.13197
TimeBlind,571,0.57221,0.10367
TimeBlind,572,0.71804,0.22234
TimeBlind,573,0.65190,0.23578
TimeBlind,574,0.65095,0.24772
TimeBlind,575,0.68497,0.26395
TimeBlind,576,0.67270,0.45560
TimeBlind,577,0.79474,0.32049
TimeBlind,578,0.78734,0.36226
TimeBlind,579,0.64598,0.47852
TimeBlind,580,0.62944,0.47299
TimeBlind,581,0.46506,0.30582
TimeBlind,582,0.44735,0.33201
TimeBlind,583,0.30712,0.60640
TimeBlind,584,0.31626,0.63852
TimeBlind,585,0.35539,0.80477
TimeBlind,586,0.35258,0.80951
TimeBlind,587,0.20018,0.68435
TimeBlind,588,0.17927,0.71996
TimeBlind,589,0.16728,0.66304
TimeBlind,590,0.17155,0.65632
TimeBlind,591,0.20927,0.81612
TimeBlind,592,0.20768,0.83491
TimeBlind,593,0.30497,0.77043
TimeBlind,594,0.30256,0.76115
TimeBlind,595,0.04369,0.62178
TimeBlind,596,0.06999,0.58467
TimeBlind,597,0.10363,0.59306
TimeBlind,598,0.11014,0.58679
TimeBlind,599,0.09941,0.64292
TimeBlind,600,0.08472,0.65527
TimeBlind,601,0.14178,0.73489
TimeBlind,602,0.14187,0.73926
TimeBlind,603,0.26242,0.74864
TimeBlind,604,0.27049,0.76030
TimeBlind,605,0.40565,0.88371
TimeBlind,606,0.40134,0.88651
TimeBlind,607,0.04356,0.68701
TimeBlind,608,0.04683,0.67576
TimeBlind,609,0.20774,0.77909
TimeBlind,610,0.21753,0.77871
TimeBlind,611,0.27205,0.85070
TimeBlind,612,0.26961,0.85800
TimeBlind,613,0.18308,0.82373
TimeBlind,614,0.19064,0.80173
TimeBlind,615,0.00000,0.66584
TimeBlind,616,0.00682,0.66099
TimeBlind,617,0.40021,0.87931
TimeBlind,618,0.40477,0.87491
TimeBlind,619,0.31668,0.62188
TimeBlind,620,0.30553,0.61959
TimeBlind,621,0.09639,0.86458
TimeBlind,622,0.09773,0.84647
TimeBlind,623,0.11084,0.69636
TimeBlind,624,0.12464,0.71102
TimeBlind,625,0.23665,0.68684
TimeBlind,626,0.23390,0.69472
TimeBlind,627,0.25846,0.74656
TimeBlind,628,0.25319,0.76170
TimeBlind,629,0.27059,0.81974
TimeBlind,630,0.25551,0.80692
TimeBlind,631,0.20269,0.74673
TimeBlind,632,0.22287,0.70884
TimeBlind,633,0.14004,0.62577
TimeBlind,634,0.13726,0.62304
TimeBlind,635,0.42639,0.84681
TimeBlind,636,0.41919,0.84020
TimeBlind,637,0.43644,0.79518
TimeBlind,638,0.43775,0.79955
TimeBlind,639,0.27629,0.75788
TimeBlind,640,0.28029,0.75600
TimeBlind,641,0.16901,0.63702
TimeBlind,642,0.16968,0.63641
TimeBlind,643,0.02608,0.68637
TimeBlind,644,0.02957,0.68357
TimeBlind,645,0.39577,0.90793
TimeBlind,646,0.39293,0.90772
TimeBlind,647,0.45775,0.84027
TimeBlind,648,0.45879,0.84020
TimeBlind,649,0.24314,0.76661
TimeBlind,650,0.23801,0.78076
TimeBlind,651,0.12265,0.71259
TimeBlind,652,0.12113,0.70666
TimeBlind,653,0.12954,0.73428
TimeBlind,654,0.13014,0.73060
TimeBlind,655,0.13225,0.71187
TimeBlind,656,0.13664,0.69943
TimeBlind,657,0.33683,0.90110
TimeBlind,658,0.33963,0.90220
TimeBlind,659,0.26512,0.72968
TimeBlind,660,0.27541,0.70884
TimeBlind,661,0.22556,0.71621
TimeBlind,662,0.22737,0.71075
TimeBlind,663,0.38404,0.93872
TimeBlind,664,0.37837,0.94390
TimeBlind,665,0.30027,0.79287
TimeBlind,666,0.30212,0.78598
TimeBlind,667,0.16791,0.58321
TimeBlind,668,0.16954,0.60159
TimeBlind,669,0.32277,0.77650
TimeBlind,670,0.33392,0.75863
TimeBlind,671,0.37440,0.84702
TimeBlind,672,0.37514,0.85248
TimeBlind,673,0.10025,0.78475
TimeBlind,674,0.09606,0.78894
TimeBlind,675,0.27991,0.73182
TimeBlind,676,0.27148,0.72596
TimeBlind,677,0.21126,0.59248
TimeBlind,678,0.21294,0.58314
TimeBlind,679,0.09385,0.71931
TimeBlind,680,0.09002,0.73517
TimeBlind,681,0.17769,0.77929
TimeBlind,682,0.17487,0.77940
TimeBlind,683,0.10928,0.64108
TimeBlind,684,0.10637,0.64282
TimeBlind,685,0.22220,0.60913
TimeBlind,686,0.22047,0.61581
TimeBlind,687,0.34688,0.81698
TimeBlind,688,0.34615,0.80548
TimeBlind,689,0.08183,0.80443
TimeBlind,690,0.07959,0.82202
TimeBlind,691,0.40858,0.86189
TimeBlind,692,0.40615,0.86564
TimeBlind,693,0.22539,0.85364
TimeBlind,694,0.22642,0.85009
TimeBlind,695,0.29516,0.92341
TimeBlind,696,0.29098,0.90281
TimeBlind,697,0.29988,0.88180
TimeBlind,698,0.30567,0.87744
TimeBlind,699,0.28733,0.87147
TimeBlind,700,0.28493,0.87294
TimeBlind,701,0.40611,0.81964
TimeBlind,702,0.43290,0.80323
TimeBlind,703,0.24902,0.69701
TimeBlind,704,0.25099,0.71832
TimeBlind,705,0.39953,0.76940
TimeBlind,706,0.41510,0.77445
TimeBlind,707,0.29319,0.77998
TimeBlind,708,0.29502,0.79218
TimeBlind,709,0.22475,0.69343
TimeBlind,710,0.22561,0.69370
TimeBlind,711,0.19468,0.66116
TimeBlind,712,0.18866,0.65912
TimeBlind,713,0.42186,0.72030
TimeBlind,714,0.42074,0.71331
TimeBlind,715,0.27366,0.77513
TimeBlind,716,0.27743,0.77183
TimeBlind,717,0.14371,0.69274
TimeBlind,718,0.14556,0.66492
TimeBlind,719,0.36009,0.89592
TimeBlind,720,0.36872,0.89169
TimeBlind,721,0.31640,0.67140
TimeBlind,722,0.33297,0.67508
TimeBlind,723,0.42491,0.65830
TimeBlind,724,0.42645,0.65257
TimeBlind,725,0.38829,0.87843
TimeBlind,726,0.38994,0.87348
TimeBlind,727,0.20258,0.61554
TimeBlind,728,0.21243,0.61574
TimeBlind,729,0.25105,0.83147
TimeBlind,730,0.25306,0.81803
TimeBlind,731,0.21115,0.76818
TimeBlind,732,0.21275,0.76292
TimeBlind,733,0.14993,0.61097
TimeBlind,734,0.15970,0.62120
